,Id,Nummer,Titels,Initialen,Tussenvoegsel,Achternaam,Voornamen,Roepnaam,Geslacht,Functie,Geboortedatum,Geboorteplaats,Geboorteland,Overlijdensdatum,Overlijdensplaats,Woonplaats,Land,ContentType,ContentLength,GewijzigdOp,ApiGewijzigdOp,Verwijderd
179,0544b8ed-a3d6-4f24-923d-b8b48b08de3d,1016.0,,W.I.I.,van,Beek,Willibrord,Willibrord,man,Oud Kamerlid,1949-01-15T00:00:00+01:00,Amsterdam,,,,Maarheeze,NL,image/jpeg,22123.0,2020-11-20T13:29:40+01:00,2020-11-20T12:34:27.7407815Z,False
180,48ca7a8b-4b1b-4a83-8101-b8b61ed90a11,,,,,,,,,,,,,,,,,,,,,
181,03ef0868-66e6-43f9-a754-b8cc68d62b52,1321.0,,J,,Brantsen,,,man,Oud Kamerlid,1768-03-05T00:00:00+01:00,-,,1826-05-30,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:36:19.7886846Z,False
182,8762f975-c741-498a-a2ce-b8dc45191d40,1117.0,,JC,,Baud,,,,Oud Kamerlid,1789-10-23T00:00:00+02:00,-,,,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:35:18.3037904Z,False
183,b1ab2028-ac30-41a0-b1a7-b8dd5a7347f2,412.0,drs.,MPA,van,Dam,,,man,Oud Kamerlid,1938-01-30T00:00:00+01:00,Utrecht,,,,Soest,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:32:10.8481347Z,False
184,74bf0697-2a52-46eb-94bf-b8eec04b0014,2142.0,,F,van,Vliet,,,man,Oud Kamerlid,1902-08-27T00:00:00+02:00,-,,1986-12-19,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:40:18.3063096Z,False
185,875eb7de-141e-4707-9c4e-b8f226ae5b0a,,,,,,,,,,,,,,,,,,,,,
186,af46bfab-5a1d-4d72-9a5a-b8f6f8f509db,1947.0,,A,,Sandberg,,,man,Oud Kamerlid,1768-12-01T00:00:00+01:00,-,,1843-03-06,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:39:21.6964575Z,False
187,45f87d4f-f065-46ab-a8be-b9142df39429,1503.0,,VAM,van den,Heuvel,,,man,Oud Kamerlid,1854-12-08T00:00:00+01:00,-,,1920-09-13,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:37:20.3985685Z,False
188,d91d731d-daf3-474a-aab9-b91794a19f01,374.0,drs.,CP,van,Dijk,,,man,Oud Kamerlid,1931-07-25T00:00:00+02:00,Rotterdam,,2008-12-29,Rotterdam,Rotterdam,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:31:40.1445546Z,False
